longitude,latitude
-56.85837,-63.712727
-56.55789,-63.67951
-62.593838,-64.733955
-63.072777,-64.53648
-57.03719,-63.66538
-56.1864,-63.6273
-75.63272,-69.80012
-56.98908,-63.73163
-56.97775,-63.715214
-62.53278,-64.62222
-57.23,-63.57
-56.42345,-63.54528
-56.49942,-63.659195
-56.96376,-63.68997
-57.33109,-63.70957
-56.778942,-63.713135
-62.04606,-64.67667
-60.73389,-63.919445
-63.493057,-64.82694
-62.854576,-64.41434
-64.01429,-65.0662
-61.761112,-64.501945
-57.06617,-63.64796
-56.81613,-63.67585
-59.768612,-62.525833
-56.38358,-63.61176
-56.894783,-63.33242
-57.25625,-63.72504
-57.2885,-63.70767
-45.549946,-60.65019
-62.871002,-64.717026
-64.05278,-65.1025
-57.368793,-62.97697
-62.529686,-64.84363
-61.353149,-62.780645
-56.883358,-63.5214
-56.883624,-63.522207
-54.67634,-63.430026
-55.887312,-63.53262
-64.022715,-65.11092
-62.59359,-64.732079
-62.859444,-64.894167
-64.136306,-65.172722
-55.781647,-63.572586
-55.785648,-63.574562
-55.786324,-63.574368
-55.787678,-63.574139
-56.886818,-63.520557
-56.882999,-63.521351
-56.883718,-63.520054
-56.886795,-63.520542
-56.886364,-63.52066
-56.882801,-63.521358
-56.889965,-63.519863
-55.789936,-63.570248
-56.124447,-63.603626
-54.596583,-63.393283
-55.785733,-63.574417
-57.570167,-63.772717
-54.622383,-63.388717
-56.900283,-63.510533
-64.069537,-65.119953
-63.509724,-64.815834
-58.42917,-62.13028
-55.836216,-63.572086
-59.74917,-62.406387
-54.858112,-61.15311
-56.955883,-63.38081
-62.022858,-64.67954
-56.988586,-63.46487
-56.64998,-65.92991
-58.61611,-62.26
-55.87472,-63.390835
-54.66833,-63.41389
-27.078209,-59.41279
-56.998753,-63.070427
-55.643547,-63.384502
-55.550835,-63.34861
-45.36315,-60.847645
-56.99778,-63.39722
-56.995975,-63.381695
-27.305054,-59.45899
-44.7375,-60.737778
-55.095554,-61.128613
-66.99973,-66.7581
-64.03888,-65.11106
-60.756798,-63.903404
-57.032127,-63.400883
-61.693577,-64.56276
-64.15639,-65.23889
-56.9822,-63.38793
-55.5728,-63.8361
-55.93306,-60.847996
-60.787468,-63.880272
-56.997284,-63.398125
-44.724827,-60.74354
-54.34754,-61.155697
-57.667534,-63.25368
-66.78667,-66.870834
-62.009052,-64.67884
-56.881294,-63.521748
-55.174923,-60.356255
-26.477505,-57.799183
-66.84381,-66.81122
-57.22222,-63.221943
-54.74754,-61.154488
-68.43,-67.73
-57.028915,-63.40016
-57.926888,-62.102
-56.705963,-63.459305
-57.00646,-63.04464
-56.787262,-63.441883
169.23416,-77.45194
-60.95222,-63.85611
-55.783333,-63.583332
-67.727,-67.7106
-56.88886,-63.509083
-56.904247,-63.519505
-59.117245,-63.16309
-64.257774,-65.24556
-62.877613,-64.535614
-58.474304,-62.158768
-68.11303,-67.56893
-68.112365,-67.566781
-68.113781,-67.569004
-68.113459,-67.568267
-68.115626,-67.566621
-68.116699,-67.566863
-68.117922,-67.567006
-68.112732,-67.567205
-68.113223,-67.56866
-68.112429,-67.566924
-68.114832,-67.569515
-68.129295,-67.566445
-68.112922,-67.568022
-68.115991,-67.566609
-68.112925,-67.566607
-68.115605,-67.569761
-68.116227,-67.566695
-68.129299,-67.568221
-68.115519,-67.566924
-68.113008,-67.566613
-68.113686,-67.566398
-68.118673,-67.567162
-68.113182,-67.566398
-68.115836,-67.569334
-68.116678,-67.570235
-55.785664,-63.56001
166.43921,-77.378946
-142.44141,-72.294414
166.42868000000001,-77.511575
166.36597,-77.331809
-152.75391,-76.069092
-143.08594,-74.590108
-145.60547,-74.383245
163.95996,-77.360689
-64.110916,-65.328164
