prov,latitude,longitude,source
gbif,-54.17,-36.7,gbif
gbif,-54.28,-36.48,gbif
gbif,-64.9,-62.87,gbif
gbif,-57.03,-26.7,gbif
gbif,-62.6,-60.6,gbif
gbif,-64,61,gbif
gbif,-54.5,-36.1,gbif
gbif,-54.27,-36.57,gbif
gbif,-54.27,-36.5,gbif
gbif,-54.26256,-36.50898,gbif
gbif,-54.2,-36.65,gbif
gbif,-54.83,-36.02,gbif
gbif,-54.52,-36.62,gbif
gbif,-54.25,-37.25,gbif
gbif,-54.28333,-36.5,gbif
gbif,-49.35006,70.21657,gbif
gbif,-54.2258,-37.22165,gbif
gbif,-49.3512,70.21034,gbif
gbif,-54.27,-36.52,gbif
inat,-62.1869187562,-58.9050272541,inat
inat,-62.7341111111,-61.2109916667,inat
inat,-64.1509164918,-60.9482903407,inat
inat,-62.7155100571,-61.012604709,inat
inat,-54.340511691,-36.2744541289,inat
inat,-62.6465533333,-60.6040466667,inat
inat,-62.9861916667,-60.5447,inat
inat,-62.5956283689,-59.9011893295,inat
inat,-54.1884346667,-36.5857658333,inat
inat,-64.896194084,-62.8714613444,inat
inat,-60.6880069722,-45.6142079722,inat
inat,-60.687851,-45.6107289722,inat
inat,-67.7257381466,-67.7354641042,inat
inat,-54.5228783333,-36.0890833333,inat
inat,-62.6540914877,-60.6075295061,inat
inat,-54.7765111111,-35.815325,inat
inat,-62.6540444444,-60.6118722222,inat
inat,-62.096625,-57.9266383333,inat
inat,-62.7694777778,-61.2443888889,inat
inat,-62.5958361674,-59.9004338697,inat
inat,-54.523318,-36.077168,inat
inat,-54.522761,-36.023478,inat
inat,-54.2800944444,-36.5067833333,inat
inat,-67.725335,-67.7361499722,inat
inat,-64.3208833333,-62.9191333333,inat
inat,-62.7315630718,-61.2039707322,inat
inat,-62.6498527008,-60.6075087375,inat
inat,-62.178528487,-58.8987758465,inat
inat,-51.7288797313,-59.2129511386,inat
inat,-64.2492765734,-59.6756428877,inat
inat,-65.1749324454,-64.1364324682,inat
inat,-62.6529062534,-60.6056203379,inat
inat,-62.4425328544,-59.3795809999,inat
inat,-62.4653141464,-60.7950654422,inat
inat,-62.2383688325,-58.6711997057,inat
inat,-62.53021667,-59.79072,inat
inat,-64.6846713416,-62.625278571,inat
inat,-64.7749566578,-64.051893708,inat
inat,-64.6917267345,-63.1407834965,inat
inat,-58.22358667,-63.20740833,inat
inat,-62.1013678,-57.9295731,inat
inat,-62.1601563431,-58.4797509702,inat
inat,-54.1581964704,-36.7147314693,inat
inat,-62.1849675106,-58.8790206419,inat
inat,-54.2807558595,-36.5102040445,inat
inat,-62.7337274758,-61.2079262802,inat
inat,-64.67103179,-62.6738054,inat
inat,-62.7623099482,-61.2735927477,inat
inat,-64.6846416667,-62.62983,inat
inat,-60.71667,-45.6,inat
inat,-62.089262,-57.949276,inat
inat,-66.1452606316,-64.8852539063,inat
inat,-62.3998083,-59.5074137,inat
inat,-64.898547,-62.876198,inat
