longitude,latitude
-62.669575,-64.669426
70.0144,-49.525055
-57.650574,-51.66753
70.21163,-49.354652
-61.2215,-51.047253
-58.21463,-52.073288
-59.945732,-51.315174
-64.263054,-65.23944
-41.060745,-56.66443
-67.07564,-55.227077
-57.59516,-63.12243
-37.2828,-54.1507
-36.800938,-54.12744
-61.23173,-51.86933
-61.234783,-51.89574
-54.630028,-61.069347
-35.999443,-54.578335
69.84986,-49.48619
69.98574,-49.404083
69.94778,-49.45733
-58.36713,-63.455551
69.99907,-49.481987
-57.868996,-51.7298
-61.92059,-51.11418
-61.460896,-52.511467
70.1974,-49.3505
-60.776424,-51.198124
-58.858288,-51.362988
-58.3975,-51.906895
-58.358168,-51.880262
-60.281773,-52.050167
-57.800003,-51.680546
-57.840157,-51.471172
-59.010237,-51.427258
-57.835803,-51.480305
-57.80639,-51.703888
-57.614487,-51.614304
-58.884811,-62.182505
-62.868657,-64.895371
-62.436014,-64.607391
-59.903122,-62.595497
-62.73857,-64.80721
-35.70672,-54.624924
-59.10494,-51.30695
-56.45,-63.3
-60.465958,-52.56024
-63.50387,-64.81758
-60.24089,-51.30779
-62.57083,-64.64694
-36.815804,-54.151413
-63.47402,-64.791115
-62.763092,-64.62438
-62.86397,-64.89567
-63.01548,-64.73036
-59.069176,-52.43016
-61.99981,-64.61925
-60.250652,-51.315617
-62.616413,-64.717995
-55.18967,-61.28414
-62.820045,-64.59283
-58.25878,-51.83479
-59.78278,-62.400276
-60.664444,-62.92361
-62.80939,-64.79115
-56.88288,-63.521442
-59.65088,-51.2956
-60.094315,-51.30419
-35.812496,-54.786175
-60.10463,-51.30558
-57.95139,-62.0875
-62.613056,-64.6875
-58.960255,-62.218044
-54.866665,-61.1
-60.96389,-64.15
-65.994255,-54.907425
-54.858032,-61.056206
-36.819695,-54.1308
-60.61265,-62.632973
-64.246666,-65.249306
-64.06528,-64.770836
-59.5,-51.3167
-62.188087,-64.5643
-58.238102,-51.833485
-64.07413,-64.77308
-35.942467,-54.617783
-64.00709,-65.11344
-58.904915,-62.18439
-55.198654,-61.274467
-37.25712,-54.030045
-57.868256,-63.033215
-64.46167,-65.14061
-36.216125,-54.230682
-61.88308,-64.25965
-61.405834,-63.92472
-62.611584,-64.6517
-60.23194,-51.308132
-57.899723,-63.32111
-60.850014,-53.507607
-58.960045,-62.200607
-58.6675,-62.23814
-60.939648,-64.1467
-61.458824,-64.38668
-58.3374,-62.0215
-63.371356,-64.872417
-63.342977,-65.013087
-58.46451,-62.12114
-35.799725,-54.789837
-62.598484,-64.612305
-35.679798,-54.752728
-60.239232,-51.306311
-37.256731,-54.026991
-62.625887,-64.685463
-62.625309,-64.685322
-56.399911,-62.249785
-63.096754,-63.815611
-56.898647,-63.516663
-62.87007,-64.89535
-60.56054,-62.97898
-63.49603,-64.82556
-62.62013,-64.69074
-62.59859,-64.72905
-64.27014,-65.23972
-56.89351,-63.52331
-35.95981,-54.62717
-62.14826,-64.64093
-64.00007,-65.10884
-57.588745,-64.51781
-67.383575,-54.904526
-59.70186,-62.48609
-64.44361,-65.14614
-64.258147,-65.245688
-62.871583,-64.897475
-58.086563,-51.754852
-57.855247,-51.69228
-57.831075,-51.477593
-57.83381,-51.477122
-60.7111,-63.785
-59.074116,-52.430805
-56.88488,-63.52106
-60.56244,-62.978596
-35.94467,-54.620018
-36.244728,-54.25899
-54.49753,-61.06643
-63.98159,-65.10146
-36.60573,-54.084927
-37.48512,-53.896667
-35.831657,-54.6395
-68.320724,-54.832745
-58.021706,-51.38727
-62.530643,-64.84358
-57.728775,-51.65814
-36.50622,-54.280106
-37.256916,-54.030018
-37.081356,-53.978474
-59.89981,-62.595734
-57.854958,-51.695724
-62.599167,-64.70167
-68.318504,-54.81743
-35.87091,-54.587025
-36.28186,-54.30023
-35.879925,-54.63384
-68.361984,-54.8363
-62.538963,-64.83986
-37.201187,-53.999405
-60.854343,-52.114754
-58.019238,-51.38227
-59.729034,-62.422832
-58.01355,-51.38291
-57.72963,-51.661575
-58.017292,-51.381916
-62.639748,-64.55779
-57.81806,-51.716263
-56.713615,-63.365055
-59.07143,-52.423943
-67.56087,-54.870705
-36.287296,-54.300034
-37.445133,-54.013405
-60.23133,-51.309566
-57.833782,-51.47907
-65.23488,-54.61912
-59.702244,-62.582268
-62.987499,-64.679405
-62.546379,-64.844131
-62.988075,-64.679665
-58.919819,-62.209498
-60.60298,-62.64749
-56.881142,-63.521643
-56.741693,-63.364687000000004
-62.608028,-64.72118
-62.598565,-64.729933
-63.507959,-64.814785
-62.870593,-64.895387
-62.857241,-64.824002
-62.53115,-64.844863
-62.52818,-64.844375
-62.528286,-64.84328
-57.778458,-51.696754
-64.15639,-65.23889
-67.38322,-54.906722
-60.885555,-63.90361
-67.376203,-54.906297
-60.246742,-51.315243
-60.52183,-51.31019
-61.738895,-64.498436
-57.45913,-62.9303
-57.752113,-51.68132
-61.300613,-51.721275
-35.788692,-54.812374
-62.93669,-64.913414
-59.496662,-62.506657
-56.59468,-63.459625
-35.866665,-54.833332
-56.84027,-63.513428
-57.801186,-51.687763
-37.84866,-53.926144
-62.564075,-64.56276
-60.71604,-51.331696
-62.886047,-64.86894
-63.245434,-64.7161
-59.587746,-62.614334
70.109985,-49.410885
-36.784218,-54.146393
-62.267845,-64.53109
-61.28537,-51.750435
-58.405434,-50.577793
-54.92402,-61.121857
-37.257145,-54.0301
-36.50528,-54.24972
-68.260185,-54.83262
-38.28294,-54.033714
-56.495205,-63.5261
-59.895432,-62.594856
-62.847385,-64.775833
-62.530663,-64.84391
-62.585384,-64.575172
-62.595173,-64.684485
-59.903324,-62.595562
-62.607483,-64.674438
-64.13,-65.3383
-63.9308,-65.068
-63.5487,-64.9863
-63.8588,-65.0248
-63.0206,-64.8415
-62.8013,-64.6538
-64.0178,-65.1145
-64.0832,-65.1011
-62.5387,-64.8428
-62.864,-64.7192
-62.7962,-64.6352
-62.9572,-64.6702
-63.9802,-65.0977
-64.0997,-65.1855
-64.0595,-65.1402
-64.1443,-65.1413
-62.8643,-64.9028
-58.97739,-62.198948
-62.539165,-64.04305
70.44203,-49.437393
-64.05333,-64.77417
-57.783737,-51.680244
70.28446,-49.34225
-67.374742,-54.904903
-64.129392,-65.817743
-67.376252,-54.90463
-60.520932,-51.30913
-60.521656,-51.308773
-56.7284,-63.374096
-61.294292,-51.708427
-60.656727,-51.34091
-58.964443,-62.21639
-60.27336,-51.396793
-38.214573,-54.009933
-67.386001,-54.906392
-58.452807,-51.923604
-35.807143,-54.792624000000004
-57.833785,-51.479836
-58.387868,-51.38157
-67.431,-54.914
158.935138,-54.500802
-67.834897,-54.889892
-56.88487,-63.52088
-67.374222,-54.907682
-60.92561,-52.1675
-67.91372,-54.875904
-54.959442,-61.15646
-42.976788,-53.347267
-36.86293,-54.086872
-45.19278,-60.646942
-62.607,-64.6982
-60.555832,-62.99917
158.87329,-54.60389
-60.853504,-62.68606
-37.281506,-54.145847
-36.28986,-54.297604
-56.90292,-63.51747
-62.516087,-64.46497
-67.876396,-54.876156
-36.433186,-54.46488
-61.94045,-64.268715
-60.689457,-62.936127
-60.388382,-62.62735
-59.546833,-62.619133
-58.129513,-62.69242
-68.28093,-54.819088
-62.29474,-64.4968
-67.375222,-54.904708
-36.815897,-54.152294
-62.527394,-64.844879
-60.525423,-51.310329
-62.623038,-64.632511
-62.661468,-64.659466
-37.2576,-54.029314
-35.76195,-54.779869
-63.78886,-58.831104
-54.64388,-61.05905
70.196495,-49.350292
-36.185055,-54.44271
-36.00889,-54.545277
-67.3873,-54.9068
-67.374878,-54.904786
-67.37508,-54.904928
-64.054323,-64.773565
-58.090382,-51.76075
-60.638489,-62.95982
-66.5625,-70.066576
-67.373115,-54.90548
-64.015425,-64.774964
-64.033062,-64.780191
-56.340108,-63.423385
-64.205986,-65.23812
-61.91468,-64.206184
-68.260445,-54.822495
51.862732,-46.426235
-60.79201,-63.902756
-57.34437,-63.065216
-62.446564,-64.54014
-63.182846,-65.09137
-63.32141,-64.932076
-60.555305,-51.29208
-59.07017,-52.429928
-60.52356,-51.306026
-68.208885,-67.604164
-35.921535,-54.519787
-59.81525,-51.26755
-62.009167,-64.55417
-56.8833,-64.2
-60.227966,-51.307877
70.21877,-49.35194
-64.1851,-65.22592
-64.28933,-54.773
-63.994793,-65.08418
-62.708622,-64.5543
-62.645,-64.68889
-38.4685,-54.056915
-60.829853,-52.097874
-67.906685,-54.86241
70.246,-49.676834
-60.851467,-62.685074
-55.13929,-61.21702
-67.374062,-54.904991
-36.70459,-54.088852
-60.596627,-62.936902
-36.488662,-54.253215
-64.031717,-65.06845
-63.99931,-65.11128
-59.37704,-62.226585
-63.33,-64.48
-62.623226,-64.68538
-63.455082,-58.2119
-57.25,-62.44
-59.562115,-62.055588
-63.894417,-65.047424
-62.623322,-64.687191
-59.372116,-51.278008
-62.62872,-64.684139
-62.5994,-64.7277
-62.95,-64.9
-63.4968,-64.8149
-62.5938,-64.734
-62.927222,-64.889722
-64.078,-65.2062
-64.137,-65.176
-60.7762,-63.8964
-59.58,-62.542
-63.484,-64.8231
-62.5622,-64.6358
-64.0556,-65.104
-64.026,-65.067
-62.8667,-64.8833
-62.626,-64.684
-56.905,-63.5222
-62.5327,-64.8383
-62.6436,-64.6884
-56.499,-63.306
-56.4831,-63.2989
-62.5691,-64.6405
-62.673,-64.662
-60.609587,-62.65357
-62.607597,-64.64324
-59.781647,-62.5322
-62.634155,-64.68233
-60.64136,-62.925545
-58.732986,-62.348934
-64.03269,-65.072075
-59.05463,-62.530445
-62.999626,-64.70476
-62.356415,-64.55484
-59.597176,-62.45607
-62.61557,-64.73649
-58.923218,-62.217117
-58.834312,-62.250275
-58.41688,-62.15866
-54.610004000000004,-63.286964
-54.75166,-61.22895
-58.04189,-51.49907
-57.830833,-51.478104
-57.889797,-51.48911
-62.59712,-64.685814
-62.191917,-64.62112
-62.878147,-64.8887
-57.750973,-51.624176
-64.254875,-65.2499
-64.255135,-65.24961
-64.20758,-65.24308
-62.085888,-64.48657
-59.289944,-62.660492
-62.599426,-64.7277
-62.846954,-64.63837
-59.756363,-62.347973
-62.88072,-64.887024
-62.872887,-64.89746
-56.789833,-63.287693
-60.565,-62.994
-60.56521,-62.99383
-62.564262,-64.8859
-62.53082,-64.843925
-59.907425,-62.591614
-62.62576,-64.67948
-59.78062,-62.53351
-36.29778,-54.279446
-58.178974,-51.748222
-60.285347,-51.271294
-59.759163,-62.527863
-62.95398,-64.84096
-62.400227,-64.51334
-60.56631,-62.994133
-61.765064,-52.663868
-62.877148,-64.88886
-57.80448,-51.666927
-59.727753,-62.383476
-62.399937,-64.557304
-63.700146,-64.93909
-61.023792,-64.0723
-64.13697,-65.17174
-60.622093,-62.950848
-68.32123,-54.810974
-56.629864,-63.320946
-54.75,-61.22
-60.79128,-63.912018
-54.61,-63.28
-58.93144,-62.21263
-57.898103,-63.321686
-57.898102,-63.321685
-63.5082,-64.8175
-58.8373,-52.23
-58.8724,-52.2132
-60.642481,-51.343865
-37.346279,-53.996749
-37.257414,-54.030215
-36.801033,-54.126058
-36.71059,-54.156321
-60.366708,-51.334493
-60.67165,-51.340179
-64.05543,-65.10565
-58.95786,-62.19859
-64.13903,-65.17136
-63.76672,-65.0315
-62.6064,-64.85937
-62.947784,-64.71449
-59.57756,-62.54323
-62.858126,-64.823626
-62.529712,-64.843726
-62.858039,-64.823937
-58.884693,-62.182377
-58.904217,-62.184223
-60.231237,-51.306909
-68.302951,-54.801912
-64.0939,-65.1296
-63.4335,-64.7849
-62.6696,-64.6694
-63.4932,-64.827
-67.373846,-54.905028
-67.373826,-54.905017
-57.908897,-51.461178
-37.442154,-53.94723
-60.896366,-51.25735
-64.12819,-65.264626
-60.243687,-62.9121
-60.447205,-62.982227
-56.936462,-63.245335
-59.321087,-62.47795
-36.752697,-54.082005
-58.960003,-62.218204
-61.89148,-62.847626
-59.902477,-62.595886
-59.029366,-62.5496
-59.924046,-62.589184
-36.785946,-54.148514
-62.627262,-64.68376
-64.428825,-65.15247
-59.877216,-62.786507
-60.9857,-64.1435
-56.66083,-63.397396
-63.062584,-64.6926
-63.51876,-64.80695
-57.755127,-51.52925
-68.57885,-64.36026
-61.60139,-64.08583
-62.548782,-64.83819
-62.694736,-64.70329
-58.179302,-51.74821
-62.636974,-64.678215
-62.2318,-64.63228
-56.95932,-63.448524
-62.953316,-64.88076
-63.493258,-64.826634
-58.921625,-62.192192
-58.466375,-62.157728
-67.37364,-54.905061
-67.373715,-54.905081
-67.373575,-54.905058
-67.373706,-54.905081
-67.373716,-54.905075
-58.958427,-62.199708
-58.901666,-62.184786
-0.071389,-75.250973
