Species,Colony,Date nests counted,Number of nests,Date chicks counted,Number of chicks,Comments
Gentoo penguin,Upper Mountain Cwm,06-Nov-05,373,29-Jan-06,533,This was a 2nd count - repeated due to heavy snow and poor availablity of nest sites at 75% ED +7days (30-oct-2005) when there were 227 nests.
Gentoo penguin,Lower Mountain Cwm,06-Nov-05,521,29-Jan-06,553,This was a 2nd count - repeated due to heavy snow and poor availablity of nest sites at 75% ED +7days (30-OCT-2005) when there were 384 nests.
Gentoo penguin,Johnson,01-Nov-05,974,28-Jan-06,1444,At the fledgling count numerous nests contained newly hatched chicks
Gentoo penguin,Landing Beach,01-Nov-05,81,28-Jan-06,71,At the fledgling count numerous nests contained newly hatched chicks
Gentoo penguin,Upper Natural Arch,30-Oct-05,122,29-Jan-06,300,More nests were present than at the original count.
Gentoo penguin,Lower Natural Arch,30-Oct-05,1233,29-Jan-06,1773,At the fledgling count numerous nests contained newly hatched chicks
Gentoo penguin,Square Pond,27-Oct-05,467,28-Jan-06,567,At the fledgling count numerous nests contained newly hatched chicks
Gentoo penguin,Johnson,06-Nov-04,1297,03-Feb-05,620,
Gentoo penguin,Lower Natural Arch,05-Nov-04,1267,02-Feb-05,1035,
Gentoo penguin,Upper Mountain Cwm,05-Nov-04,449,02-Feb-05,226,
Gentoo penguin,Lower Mountain Cwm,05-Nov-04,675,02-Feb-05,138,
Gentoo penguin,Square Pond,05-Nov-04,640,02-Feb-05,245,
Gentoo penguin,Landing Beach,05-Nov-04,72,03-Feb-05,19,
Gentoo penguin,Upper Natural Arch,05-Nov-04,152,02-Feb-05,98,
Gentoo penguin,Landing Beach,27-Oct-03,16,26-Jan-04,14,There were actually 36 nests with eggs by early November
Gentoo penguin,Upper Mountain Cwm,27-Oct-03,269,26-Jan-04,328,
Gentoo penguin,Lower Mountain Cwm,27-Oct-03,397,26-Jan-04,321,
Gentoo penguin,Upper Natural Arch,27-Oct-03,102,26-Jan-04,34,
Gentoo penguin,Square Pond,27-Oct-03,488,26-Jan-04,254,
Gentoo penguin,Lower Natural Arch,27-Oct-03,1029,26-Jan-04,948,
Gentoo penguin,Johnson,26-Oct-03,1248,25-Jan-04,525,
Gentoo penguin,Johnson,30-Oct-02,988,28-Jan-03,407,
Gentoo penguin,Square Pond,30-Oct-02,372,28-Jan-03,213,
Gentoo penguin,Lower Mountain Cwm,30-Oct-02,345,30-Jan-03,527,
Gentoo penguin,Upper Mountain Cwm,30-Oct-02,99,30-Jan-03,232,
Gentoo penguin,Lower Natural Arch,30-Oct-02,1021,30-Jan-03,1189,
Gentoo penguin,Upper Natural Arch,30-Oct-02,103,30-Jan-03,134,
Gentoo penguin,Square Pond,30-Oct-01,333,26-Jan-02,472,
Gentoo penguin,Johnson,29-Oct-01,1099,27-Jan-02,881,
Gentoo penguin,Lower Mountain Cwm,29-Oct-01,470,26-Jan-02,570,
Gentoo penguin,Upper Mountain Cwm,29-Oct-01,281,26-Jan-02,409,
Gentoo penguin,Lower Natural Arch,29-Oct-01,1105,26-Jan-02,1088,
Gentoo penguin,Upper Natural Arch,29-Oct-01,152,26-Jan-02,192,
Gentoo penguin,Lower Natural Arch,30-Oct-00,550,30-Jan-01,860,
Gentoo penguin,Upper Mountain Cwm,30-Oct-00,173,30-Jan-01,360,Later nesting apparent.  Many nests with very small chicks still present at time of fledging.  These chicks were not counted as fledglings.
Gentoo penguin,Lower Mountain Cwm,30-Oct-00,327,30-Jan-01,526,
Gentoo penguin,Johnson,30-Oct-00,810,30-Jan-01,1097,
Gentoo penguin,Upper Natural Arch,30-Oct-00,93,30-Jan-01,155,
Gentoo penguin,Square Pond,27-Oct-00,247,28-Jan-01,413,Early nesting & count after 6 days not 7 due to 1st call
Gentoo penguin,Lower Natural Arch,18-Nov-99,374,17-Feb-00,456,
Gentoo penguin,Lower Mountain Cwm,18-Nov-99,260,17-Feb-00,239,
Gentoo penguin,Upper Natural Arch,18-Nov-99,67,17-Feb-00,95,
Gentoo penguin,Upper Mountain Cwm,18-Nov-99,167,17-Feb-00,229,
Gentoo penguin,Square Pond,17-Nov-99,271,,246,No date for chick count
Gentoo penguin,Johnson,17-Nov-99,682,,414,No date for chick count
Gentoo penguin,Square Pond,26-Oct-98,371,25-Jan-99,392,
Gentoo penguin,Lower Mountain Cwm,24-Oct-98,466,23-Jan-99,534,
Gentoo penguin,Upper Mountain Cwm,24-Oct-98,323,23-Jan-99,504,
Gentoo penguin,Lower Natural Arch,24-Oct-98,911,23-Jan-99,1121,
Gentoo penguin,Upper Natural Arch,24-Oct-98,166,23-Jan-99,125,
Gentoo penguin,Johnson,20-Oct-98,1008,19-Jan-99,1188,
Gentoo penguin,Lower Mountain Cwm,16-Nov-97,305,05-Feb-98,0,"No date recorded for chick count, entered as 90 days after egg count"
Gentoo penguin,Upper Mountain Cwm,16-Nov-97,267,05-Feb-98,0,"No date recorded for chick count, entered as 90 days after egg count"
Gentoo penguin,Upper Natural Arch,16-Nov-97,155,05-Feb-98,0,"No date recorded for chick count, entered as 90 days after egg count"
Gentoo penguin,Lower Natural Arch,16-Nov-97,689,05-Feb-98,1,"No date recorded for chick count, entered as 90 days after egg count"
Gentoo penguin,Johnson,15-Nov-97,726,05-Feb-98,0,"No date recorded for chick count, entered as 90 days after egg count"
Gentoo penguin,Square Pond,13-Nov-97,372,05-Feb-98,2,"No date recorded for chick count, entered as 90 days after egg count"
Gentoo penguin,Lower Natural Arch,30-Oct-96,803,09-Feb-97,813,
Gentoo penguin,Upper Natural Arch,30-Oct-96,172,09-Feb-97,131,
Gentoo penguin,Johnson,30-Oct-96,843,09-Feb-97,754,
Gentoo penguin,Upper Mountain Cwm,30-Oct-96,255,09-Feb-97,367,
Gentoo penguin,Lower Mountain Cwm,30-Oct-96,345,09-Feb-97,401,
Gentoo penguin,Square Pond,29-Oct-96,395,09-Feb-97,347,
Gentoo penguin,Johnson,12-Nov-95,713,10-Feb-96,965,
Gentoo penguin,Lower Natural Arch,11-Nov-95,614,10-Feb-96,1144,
Gentoo penguin,Upper Mountain Cwm,11-Nov-95,278,10-Feb-96,352,
Gentoo penguin,Lower Mountain Cwm,11-Nov-95,294,10-Feb-96,515,
Gentoo penguin,Upper Natural Arch,11-Nov-95,159,10-Feb-96,231,
Gentoo penguin,Square Pond,05-Nov-95,346,05-Feb-96,587,
Gentoo penguin,Lower Mountain Cwm,16-Nov-94,237,18-Feb-95,298,
Gentoo penguin,Upper Mountain Cwm,16-Nov-94,252,18-Feb-95,295,Average breeding success used to calculate actual no of nests from counted no (=65). NB +/- overall mean value 252
