Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1976,1.0,1.7,0.7,-0.5,-2.9,-9.3,-10.0,-9.5,-7.9,-1.5,-0.4,0.0
1977,1.3,1.5,0.4,-0.6,-2.0,-3.1,-8.2,-8.4,-5.4,-3.2,-0.9,0.2
1978,0.8,1.5,-0.2,-1.8,-1.9,-5.4,-13.4,-7.3,-3.8,-1.5,-2.3,-0.4
1979,1.0,1.0,0.9,-1.0,-7.6,-11.6,-9.4,-6.2,-5.6,-4.3,-2.5,-0.2
1980,0.8,1.4,-0.3,-6.3,-9.4,-11.5,-16.6,-13,-8.7,-3.8,-2.1,0.3
1981,0.5,1.0,0.0,-1.1,-4.1,-7.0,-9.6,-11.0,-5.5,-7.2,-0.8,0.2
1982,1.4,1.6,1.3,-0.3,-1.0,-3.9,-13.4,-9.9,-6.4,-2.8,-2.9,0.0
1983,0.6,0.5,-0.5,-2.6,-6.4,-8.3,-5.0,-4.4,-8.7,-3.6,-0.3,0.3
1984,0.4,1.2,-0.1,-2.5,-3.7,-12.0,-11.1,-6.2,-1.4,-3.1,-0.3,0.8
1985,2.1,1.8,-0.1,-0.7,-5.4,-10.1,-4.6,-4.9,-1.6,-1.9,-1.2,0.5
1986,1.2,1.3,1.1,-0.9,-5.7,-5.1,-9.9,-8.9,-6.3,-3.3,-1.3,0.4
1987,0.9,1.1,0.6,-2.5,-5.3,-10.2,-15.0,-7.4,-8.1,-4.1,0.3,0.5
1988,0.8,2.0,1.1,-2.6,-4.4,-9.8,-10.2,-13.1,-5.5,-4.6,-1.9,0.3
1989,0.2,0.4,1.0,-5.4,-2.9,-5.0,-1.8,-3.9,-2.1,-1.1,-0.2,0.6
1990,1.5,2.3,1.3,-2.2,-5.3,-4.4,-8.4,-7.5,-6.4,-3.1,-0.4,0.4
1991,2.2,1.8,-0.4,-1.5,-10.2,-12.2,-10.6,-8.0,-5.4,-5.7,-0.6,-1.0
1992,1.2,1.1,-1.9,-2.3,-9.4,-11.5,-12.7,-7.2,-3.3,-2.6,-0.1,1.4
1993,1.3,1.7,0.6,-1.0,-1.5,-4.9,-6.8,-5.3,-8.6,-3.3,-0.3,-0.2
1994,1.1,1.5,0.5,-2.4,-5.7,-9.3,-14.5,-6.2,-2.5,-7.1,-0.8,0.7
1995,2.5,2.1,0.6,-1.4,-3.7,-6.8,-12.4,-12.1,-7.1,-0.7,-0.8,0.5
1996,1.1,1.7,1.1,-2.5,-3.6,-9.1,-8.9,-6.1,-5.7,-1.0,0.3,0.6
1997,2.0,1.6,1.1,-1.1,-3.1,-4.9,-11.5,-7.8,-12.0,-6.6,-4.1,-0.3
1998,0.8,0.1,0.4,-0.6,-7.2,-6.4,-6.8,-9.1,-6.7,-2.0,0.2,0.4
1999,1.6,1.9,1.1,0.7,-1.8,-2.9,-4.2,-8.8,-7.7,-2.1,-0.6,0.5
2000,1.3,1.8,1.6,0.4,-2.8,-5.4,-6.9,-11.7,-7.4,-3.3,-2.2,-0.2
